報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AA/13/441/G2099,1,4549131212433,"Storage Box-with Lid... 附蓋收納盒",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,2,4549131228786,"Silicone Strainer... 浴室毛髮過濾網",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,3,4549131350791,"Tablet Stand... 平板支撐架",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,4,4549131533576,"Cotton Swab Case... 棉花棒盒",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,5,4549131533590,"First Aid Accessory Case... 急救小物收納盒",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,6,4549131543544,"Double-Sided Pencil Case... 鉛筆盒",3926.10.00.00-3,CI999999999999,"一般查驗 (General Inspection)"
AA/13/441/G2099,7,4549131614077,"Bath Chair... 洗澡椅",9401.80.00.00-0,CI999999999999,"一般查驗 (General Inspection)；燈具/家具 - 注意檢驗"
AA/13/441/G2099,8,4549131644647,"Bath Chair... 浴室椅",9401.80.00.00-0,CI999999999999,"一般查驗 (General Inspection)；燈具/家具 - 注意檢驗"
AA/13/441/G2099,9,4549131903829,"Pet Tray... 寵物尿盤",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,10,4549131960686,"Desk Trash Can... 桌上型垃圾桶",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,11,4550480087566,"Bucket with Lid... 附蓋水桶【7.5L】",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,12,4550480102382,"Manga Display Shelf... 漫畫陳列架",3926.10.00.00-3,CI999999999999,"一般查驗 (General Inspection)"
AA/13/441/G2099,13,4550480109060,"Hanging Refrigerator Storage Case... 冰箱夾式抽屜雞蛋收納盒",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,14,4550480129280,"Stock Box... 手提收納盒",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,15,4550480129532,"Stackable Container... 堆疊式收納籃",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,16,4550480144351,"Eco-friendly Mesh Tray B5... 收納籃【B5】",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,17,4550480144962,"Eco-friendly Basket-A4... 收納籃【A4】",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,18,4550480145167,"Eco-friendly Basket A... 手提收納籃",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,19,4550480146096,"Eco-friendly Accessory Basket... 收納籃",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,20,4550480206363,"Recycled PP Front Opening File Box... 文件架【A4】",3926.10.00.00-3,CI999999999999,"一般查驗 (General Inspection)"
AA/13/441/G2099,21,4550480273471,"Vegetable Strainer... 蔬菜脫水籃",3924.10.00.90-6,IFB13PK0744608,"食品容器 (Food Contact) - 需檢驗；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,22,4550480305714,"Display Stand... 展示書架",3926.10.00.00-3,CI999999999999,"一般查驗 (General Inspection)"
AA/13/441/G2099,23,4550480324364,"Rice Storage Container... 儲米箱",3924.10.00.90-6,IFB13PK0744700,"食品容器 (Food Contact) - 需檢驗；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,24,4984355077305,"Book Stand 2Rows... 書擋",3926.10.00.00-3,CI999999999999,"一般查驗 (General Inspection)"
AA/13/441/G2099,25,4984355077855,"Stacking storage rack... 文件收納盤【A4】",3926.10.00.00-3,CI999999999999,"一般查驗 (General Inspection)"
AA/13/441/G2099,26,4984355077909,"Book Stand... 書擋",3926.10.00.00-3,CI999999999999,"一般查驗 (General Inspection)"
AA/13/441/G2099,27,4984355078029,"Box with handle... 工具盒",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,28,4984355078401,"Dish stand... 盤子收納架",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
AA/13/441/G2099,29,4984355078432,"first aid kit... 急救箱",3924.90.00.90-9,CI999999999999,"一般查驗 (General Inspection)；塑膠/美耐皿檢驗 (Plastic/Melamine)"
