報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,生產國別,申報注意事項,原始檔名
AA/13/441/G2198,1,4549131975116,"Wicker Pet Bed Body：Willow（Genus：Salix Species：S. integra)Fabric： Polyester,Cotton, Rayon, Spandex 寵物床 --------------- ----------------------- -------------- ------------ -------------",6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,2,4549131977356,Wire Basket-7.48in x 10.23in x 9.84in-19cm x 26cm x 25cm- Steel 收納籃 91 4CTN N/M --------------------------------------- SNBU8247505 45G1 項 次,7323.99.00.00-8,CI999999999999,CHINA CN,一般查驗 (General Inspection),G2198放行報單.pdf
AA/13/441/G2198,3,4549131982251,Felt pet house -light gray- Polyester 寵物窩 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,4,4549131982275,Scratcher Pole for Cat Board：Particle board Post： Core Strap：Hemp（Tipe：Jute （Genus：Corchorus Species ：C. capsularis)） Fabric:Polyest 貓抓柱 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,5,4550480075921,METAL HOOK Steel 扣環未附玩具 --------------------------------------------------------------------------------------------------,8308.10.00.00-1,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,6,4550480135946,Sliced Wood Basket -Square - 1.24ft x 10.23in x 4.72in - 38cm x 26cm x 12cm- Main unit：Cedar（Genus： Cryptomeria Species：C. japonica) 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,7,4550480135977,Sliced Wood Basket -With Handle - 1.01ft x 10.23in x 5.51in - 31cm x 26cm x 14cm- Main unit：Cedar（Genus： Cryptomeria Species：C. japonica) 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,8,4550480136370,Imitation Leather Mat - Square - Dark Gray & Light Gray- Polyvinyl chloride 餐墊 --------------------------------------------------------------------------------------------------,3924.90.00.90-9,CI999999999999,CHINA CN,一般查驗 (General Inspection)；塑膠/美耐皿檢驗,G2198放行報單.pdf
AA/13/441/G2198,9,4550480145969,OSB Board Storage Box - Stacking -9.44inx1.04ftx 9.44in - 24cmx32cmx24cm- Oriented Strand Board 收納盒 BRAND:DAISO MODEL NO.4 項 次,9999.99.99.99-9,CI999999999999,CHINA CN,一般查驗 (General Inspection),G2198放行報單.pdf
AA/13/441/G2198,10,4550480150918,"Pet Tent -Gray- Body:Polyester,Cotton Wood part:Wood（Type：Eucalyptus （Genus：Eucalyptus Species ：Eucalyptus robusta Smith） ） Cushi 寵物小窩(帳篷) --------------------------------------------------------------------------------------------------",6306.29.90.00-7,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,11,4550480166124,Hanging Rope-Jute-Woven Main unit:Jute （Genus： Corchorus Species：C. capsularis) 花盆吊繩 --------------------------------------------------------------------------------------------------,5607.90.30.00-2,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,12,4550480166131,"Hanging Rope-Woven Polyester, Cotton, Rayon, Spandex 花盆吊繩 --------------------------------------------------------------------------------------------------",5608.90.00.00-7,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,13,4550480230061,"STORAGE BOX Body：Polyester,Cotton,Rayon Coating： Polyethylene, Polypropylene 附蓋收納盒 --------------- ----------------------- -------------- ------------ -------------",6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,14,4550480230078,"STORAGE BOX Body：Polyester,Cotton,Rayon Steel Coating：Polyethylene, Polypropylene 收納盒 --------------------------------------------------------------------------------------------------",6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,15,4550480278001,Wire Basket -Wooden Handle - White- Body： Steel Handle： Pine Genus： Pinus Species：P. radiata 收納籃 --------------------------------------------------------------------------------------------------,7323.99.00.00-8,CI999999999999,CHINA CN,一般查驗 (General Inspection),G2198放行報單.pdf
AA/13/441/G2198,16,4550480278018,Wire Basket -Wooden Handle - Black- Body： Steel Handle： Pine Genus： Pinus Species：P. radiata 收納籃 --------------------------------------------------------------------------------------------------,7323.99.00.00-8,CI999999999999,CHINA CN,一般查驗 (General Inspection),G2198放行報單.pdf
AA/13/441/G2198,17,4550480297248,Faux Bull Leather Reversible Desk Mat -Brown and Dark Brown- Polyvinyl chloride 雙面桌墊【35×70cm】 項 次,3924.90.00.90-9,CI999999999999,CHINA CN,一般查驗 (General Inspection)；塑膠/美耐皿檢驗,G2198放行報單.pdf
AA/13/441/G2198,18,4550480309668,"PET TOY Main unit: Feather Genus： Gallus Species：G. gallus String: Polyester, elastic (Styrene Butadiene Rubber) 貓用玩具 --------------------------------------------------------------------------------------------------",6701.00.30.00-4,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,19,4550480309675,"PET TOY Ball main unit: Polyester Ball stuffing: Polyester String: Polyester, elastic (Styrene Butadiene Rubber) 貓用玩具 --------------------------------------------------------------------------------------------------",6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,20,4550480411590,COTTON BASKET Body：Cotton Polyester Rayon Core：Polypropylene 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,21,4550480411606,COTTON BASKET Body：Cotton Polyester Rayon Core：Polyprop ylene 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,22,4550480411613,COTTON BASKET Body：Cotton Polyester Rayon Core：Polypropylene 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,23,4550480411620,COTTON BASKET Body：Cotton Polyester Rayon Core：Polypropylene 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,24,4550480428505,"PILLOW Body：94%Polyester,6%Spandex Stuffing：100%Polyester 靠枕填充【37×41×9CM】 --------------------------------------------------------------------------------------------------",0011.26.71.94-0,CI999999999999,CHINA CN,一般查驗 (General Inspection),G2198放行報單.pdf
AA/13/441/G2198,25,4550480517391,Fabric Storage Box -WH - With Lid - 1.93ft x 1.27ft x 6.69in - 59cm x 39cm x 17cm- Fabric: Polyester Cotton Rayon Coating：Polyethylene 附蓋收納籃 項 次,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,26,4550480517407,Fabric Storage Box -GY - With Lid - 1.93ft x 1.27ft x 6.69in - 59cm x 39cm x 17cm- Fabric： Polyester Cotton Rayon Coating： Polyethylene 附蓋收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,27,4550480517438,Fabric Storage Box -GY - 1.24ft x 10.23in x 1.11ft - 38cm x 26cm x 34cm- Fabric：Polyester Cotton Rayon Coating：Polyethylene Frame：Steel 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,28,4550480517452,Fabric Storage Box -WH - 7.48in x 10.23in x 9.44in - 19cm x 26cm x 24cm- Fabric：Polyester Cotton Rayon Coating：Polyethylene Frame：Steel 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,29,4550480517469,Fabric Storage Box -GY - 7.48in x 10.23in x 9.44in - 19cm x 26cm x 24cm- Fabric：Polyester Cotton Rayon Coating：Polyethylene Frame：Steel 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,30,4550480517476,Fabric Storage Box -WH - 10.23in x 7.28in x 5.90in - 26cm x 18.5cm x 15cm- Fabric：Polyester Cotton Rayon Coating：Polyethylene Frame： Steel 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,31,4550480517490,Fabric Storage Bag -1.04ft x 9.44in x 9.44in - 32cm x 24cm x 24cm- Fabric： Polyester Cotton Rayon Coating： Polyethylene Frame： Steel 收納籃 項 次,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,32,4550480517506,Fabric Storage Bag -1.31ft x 1.04ft x 9.44in - 40cm x 32cm x 24cm- Fabric： Polyester Cotton Rayon Coating： Polyethylene Frame： Steel 收納籃 --------------------------------------------------------------------------------------------------,6307.90.90.90-1,CI999999999999,CHINA CN,一般查驗 (General Inspection)；紡織品 - 注意成分標示,G2198放行報單.pdf
AA/13/441/G2198,33,4550480519890,PAPER BASKET Paper Steel 編織收納盒 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,34,4550480519913,PAPER BASKET Paper Steel 編織收納盒 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,35,4550480524924,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,36,4550480524931,PAPER BASKET Body： Paper F rame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,37,4550480524948,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,38,4550480524955,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,39,4550480524962,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,40,4550480524979,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 項 次,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,41,4550480524986,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,42,4550480524993,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
AA/13/441/G2198,43,4550480525006,PAPER BASKET Body： Paper Frame： Steel 編織收納籃 --------------------------------------------------------------------------------------------------,4602.90.00.00-5,,CHINA CN,,G2198放行報單.pdf
