報單號碼	項次	貨號/條碼	貨物名稱	稅則號列	許可證號碼	生產國別	申報注意事項
AA/13/441/G2099	1	4.54913E+12	Storage Box-with Lid-19cmx 32cmx10.5cm-.6inx12.6inx 4.1in- Polypropylene 附蓋收納盒 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	2	4.54913E+12	Silicone Strainer for Shower Drains - Silicone rubber 浴室毛髮過濾網 N/M --------------------------------------- 45G1 項 次	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	3	4.54913E+12	Tablet Stand Body-Polystyrene.Non-slip grip-Silicone resin 平板支撐架 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	4	4.54913E+12	Cotton Swab Case-With Lid - 10.5cm x 7cm x 9cm-4.1 x 2.8 x 3.54 - Polypropylene 棉花棒盒 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	5	4.54913E+12	First Aid Accessory Case- 11cm x 7.5cm x 4.5cm - 4.3 x 3 x 1.8- Polypropylene 急救小物收納盒 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	6	4.54913E+12	Double-Sided Pencil Case Polypropylene 鉛筆盒 --------------------------------------------------------------------------------------------------	3926.10.00.00-3	CI999999999999	THAILAND TH	一般查驗 (General Inspection)
AA/13/441/G2099	7	4.54913E+12	Bath Chair (H8 .3inch x W13.8inch x D9.3inch) Body-Polypropylene.Non-slip grip-Polyethylene 洗澡椅 --------------------------------------------------------------------------------------------------	9401.80.00.00-0	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；燈具/家具 - 注意檢驗
AA/13/441/G2099	8	4.54913E+12	Bath Chair (W15inch D12.2inch H13inch) Body-Polypropylene.Non-slip grip-Polyethylene 浴室椅 --------------------------------------------------------------------------------------------------	9401.80.00.00-0	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；燈具/家具 - 注意檢驗
AA/13/441/G2099	9	4.54913E+12	Pet Tray Polypropylene 寵物尿盤 --------------------------------------------------------------------------------------------------	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
AA/13/441/G2099	10	4.54913E+12	Desk Trash Can Polypropylene 桌上型垃圾桶 項 次	3924.90.00.90-9	CI999999999999	THAILAND TH	一般查驗 (General Inspection)；塑膠/美耐皿檢驗
