報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AW/14/557/G0674,1,4550480496986,Oval Melamine Tray 1.08ft x 8.26in 33cm x 21cm,3924.10.00.90-6,DH999999999999,食品容器/雜貨 - 注意檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/14/557/G0674,2,4550480544229,FOLDABLE PP BAG ZIPPER 2HANDLES LOGO 1.47ft x 1.47ft,4202.92.90.92-7,CI999999999999,一般查驗 (General Inspection)
AW/14/557/G0674,3,4550480591728,Soap Tray - Sparkling-,3924.90.00.90-9,CI999999999999,食品容器/雜貨 - 注意檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/14/557/G0674,4,4550480591735,Toothbrush Stand -Sparkling-,3924.90.00.90-9,CI999999999999,食品容器/雜貨 - 注意檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/14/557/G0674,5,4550480641072,Fruit Knife with Case With Design-,8211.92.30.00-2,,
AW/14/557/G0674,6,4550480641089,Knife With Case With Design-,8211.92.90.00-9,,
AW/14/557/G0674,7,4550480652474,Bowl -5.90in x 5.90in x 2.75in-15cm x 15cm x 7cm Striped - RD- 食品用,6911.10.00.00-4,IFB14DJ6532506-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,8,4550480652634,Plate-7.48in x 7.48in x 0.98in 19cm x 19cm x 2.5cm Striped GR- 食品用,6911.10.00.00-4,IFB14DJ6532608-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,9,4550480652641,Plate-7.48in x 7.48in x 0.98in 19cm x 19cm x 2.5cm Striped RD- 食品用,6911.10.00.00-4,IFB14DJ6532700-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,10,4550480652658,Plate-7.48in x 7.48in x 0.98in 19cm x 19cm x 2.5cm Striped YL- 食品用,6911.10.00.00-4,IFB14DJ6532802-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,11,4550480652665,Bowl-7.87in x 7.87in x 3.14in 20cm x 20cm x 8cm Striped GR- 食品用,6911.10.00.00-4,IFB14DJ6532901-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,12,4550480652672,Bowl -7.87in x 7.87in x 3.14in 20cm x 20cm x 8cm Striped RD- 食品用,6911.10.00.00-4,IFB14DJ6533002-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,13,4550480652689,Bowl -7.87in x 7.87in x 3.14in 20cm x 20cm x 8cm Striped YL- 食品用,6911.10.00.00-4,IFB14DJ6533101-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,14,4550480652696,Bowl -5.90in x 5.90in x 2.75in 15cm x 15cm x 7cm Striped GR- 食品用,6911.10.00.00-4,IFB14DJ6533203-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,15,4550480652702,Bowl -5.90in x 5.90in x 2.75in 15cm x 15cm x 7cm Striped YL- 食品用,6911.10.00.00-4,IFB14DJ6533305-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,16,4550480652719,Mug -Striped -GR- 食品用,6911.10.00.00-4,IFB14DJ6533407-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,17,4550480652726,Mug -Striped -RD- 食品用,6911.10.00.00-4,IFB14DJ6533509-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,18,4550480652733,Mug -Striped -YL- 食品用,6911.10.00.00-4,IFB14DJ6533601-01,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AW/14/557/G0674,19,4550480679877,Separated Curtain Embroidery Flower Design-,6303.92.00.00-1,,
AW/14/557/G0674,20,4550480709383,MDF Photo Frame For Size L Photo - Arched GY-,4414.90.00.00-3,,
