報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AW/13/441/G1724,1,4549131523850,Kitchien Dish Cloth -3pcs 100% Cotton 廚房抹布,6307.10.00.00-6,,
AW/13/441/G1724,2,4549131632507,Rubber Tree Easel Stand 13cm x 21cm x H24.5cm 5. lin x 8.3in x 9.6in- Rubber tree, Nitrocellulose coating, Iron 書報展示架,4414.90.00.00-3,,
AW/13/441/G1724,3,4549131632514,Rubber Tree Easel Stand 11.5cm x 14cm x H18.5cm (4.5in x 5.5in x 7.3in) Rubber tree, Nitrocellulose coating, Iron 木製畫架,4414.90.00.00-3,,
AW/13/441/G1724,4,4549131879476,Waffle Dishcloth 100 percent Cotton- 100% Cotton 抹布,6307.10.00.00-6,,
AW/13/441/G1724,5,4550480187587,STORAGE BAG FOR AIR CIRCULATOR FAN- Polypropylene 循環風扇收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,6,4550480195933,Storage Bag -For Large Suit- Polypropylene 加大西裝收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,7,4550480195940,Storage Bag For Long Coats- Polypropylene 大衣收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,8,4550480195957,Storage Bag For Under Bed Polypropylene 床下收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,9,4550480195964,STORAGE BAG FOR FAN- Polypropylene 風扇收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,10,4550480195971,Clothing Rack Cover Polypropylene 吊衣架防塵套,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,11,4550480195988,Storage Bag For Bedding and Down Comforters- Polypropylene 棉被收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,12,4550480195995,Storage Bag -For Regular Blankets and Towel Blankets- Polypropylene 毯子收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,13,4550480196008,Storage Bag -For Dress- Polypropylene 洋裝收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,14,4550480196015,Storage Bag -For Floor Cushions- Polypropylene 坐墊收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,15,4550480196022,INDOOR AIR CONDITIONER COVER Polypropylene 空調收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,16,4550480196039,Suit Cover -2 pcs.- Polypropylene 西裝收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,17,4550480201399,Storage Bag For Clothing- Polypropylene 衣物收納袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,18,4550480236216,LAUNDRY NET-REVERSIBLE - FINE RECTANGULAR - Net: Polyester 雙面兩用洗衣袋【40×50cm】,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,19,4550480236223,LAUNDRY NET-REVERSIBLE FINE ROUND- Net: Polyester 雙面兩用洗衣袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,20,4550480236445,LAUNDRY NET-FINE - RECTANGULAR 2 PCS.- Net Polyester 洗衣袋【25×35cm/18×22cm】,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,21,4550480236490,LAUNDRY NET-LARGE COARSE -CYLINDRICAL- Net: Polyester 洗衣袋,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AW/13/441/G1724,22,4550480245713,CLOTHESPIN WITH HOOKS-16PCS- Polypropylene, Hard steel wire 掛鉤式曬衣夾,3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection)
AW/13/441/G1724,23,4550480245812,LAUNDRY CLOTHESPIN 30 PCS. Polypropylene, Hard steel wire 曬衣夾,3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection)
AW/13/441/G1724,24,4550480245829,LINGERIE CLOTHESPIN-20PCS. Polypropylene, Hard steel wire 無痕曬衣夾,3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection)
AW/13/441/G1724,25,4550480248332,LARGE CLOTHESPIN -Monotone 4 PCS.- Polypropylene, Hard steel wire 加大曬衣夾,3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection)
AW/13/441/G1724,26,4550480250670,STAINLESS STEEL SCRUBBER -1.05oz. 30g 2PCS.- Stainless steel 廚用不鏽鋼洗刷鋼絲球,7323.10.90.00-5,,
AW/13/441/G1724,27,4550480250687,STAINLESS STEEL SCRUBBER -0.35oz. 10g8PCS.- Stainless steel 廚用不鏽鋼洗刷鋼絲球,7323.10.90.00-5,,
AW/13/441/G1724,28,4550480250694,STAINLESS STEEL SCRUBBER -0.52oz. 15g4PCS.- Stainless steel 廚用不鏽鋼洗刷鋼絲球,7323.10.90.00-5,,
AW/13/441/G1724,29,4550480296760,Tote Bag -1.37ft x 10.23in x 6.69in 42cm x 26cm x 17cm- Body: Polypropylene Handle Polypropylene 手提袋,4202.92.90.91-8,,
AW/13/441/G1724,30,4550480296777,Multi-purpose Bag 1.37ft x 10.23in x 6.69in 42cm x 26cm x 17cm- Body Polypropylene Handle: Polypropylene 手提袋,4202.92.90.91-8,,
AW/13/441/G1724,31,4550480308227,FLEXIBLE STRAW-COLOR: MONOTONE 150PCS.- Polypropylene 彩色可彎曲吸管【21cm】,3917.32.00.30-2,IFB13PK0735202,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,32,4550480308234,FLEXIBLE STRAW-COLOR: PASTEL 150PCS.- Polypropylene 彩色可彎曲吸管【21cm】,3917.32.00.30-2,IFB13PK0735301,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,33,4550480308241,FLEXIBLE STRAW-COLOR: CLEAR 150PCS. Polypropylene 透明可彎曲吸管【21cm】,3917.32.00.30-2,IFB13PK0735403,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,34,4550480309828,FLEXIBLE STRAW WITH PAPER WRAPPER COLOR: PASTEL - 100PCS. Polypropylene 彩色可彎曲吸管【21cm】,3917.32.00.30-2,IFB13PK0735505,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,35,4550480315102,Freezer Bag -Double Seal GussetedS 20 PCS. For Freezer Polyethylene 冷凍保鮮夾鏈袋【160×115×50mm】,3923.21.00.00-3,IFB13PK0735607,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,36,4550480315119,Freezer Bag -Double Seal GussetedM13 PCS. For Freezer Polyethylene 冷凍保鮮夾鏈袋【180×165×70mm】,3923.21.00.00-3,IFB13PK0735709,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,37,4550480315126,Freezer Bag -Double Seal GussetedL10 PCS. For Freezer Polyethylene 冷凍保鮮夾鏈袋【270×240×80mm】,3923.21.00.00-3,IFB13PK0735801,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,38,4550480315140,Freezer Bag With Slider M13 PCS. For Freezer- Bag: Polyethylene Slider: Polypropylene 冷凍保鮮夾鏈袋【220×180mm】,3923.21.00.00-3,IFB13PK0735900,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,39,4550480315195,Food Storage Bag With Seal S25 PCS. For Fridge- Polyethylene 冷藏保鮮夾鏈袋【160×140mm】,3923.21.00.00-3,IFB13PK0736001,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,40,4550480315218,Food Storage Bag With Seal M20 PCS. For Fridge- Polyethylene 冷藏保鮮夾鏈袋【220×180mm】,3923.21.00.00-3,IFB13PK0736100,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,41,4550480315249,Food Storage Bag With Seal L15 PCS. For Fridge- Polyethylene 冷藏保鮮夾鏈袋【270×280mm】,3923.21.00.00-3,IFB13PK0736202,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,42,4550480315263,Freezer Bag With Seal S 20 PCS. For Freezer- Polyethylene 冷凍保鮮夾鏈袋【160×140mm】,3923.21.00.00-3,IFB13PK0736304,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,43,4550480315287,Freezer Bag With Seal M 15 PCS. For Freezer- Polyethylene 冷凍保鮮夾鏈袋【220×180mm】,3923.21.00.00-3,IFB13PK0736406,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,44,4550480315300,Freezer Bag With Seal L 10 PCS. For Freezer- Polyethylene 冷凍保鮮夾鏈袋【270×280mm】,3923.21.00.00-3,IFB13PK0736508,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,45,4550480315324,Food Storage Bag-With Slider S18 PCS. For Fridge- Bag: Polyethylene Slider: Polypropylene 冷藏保鮮夾鏈袋【160×140mm】,3923.21.00.00-3,IFB13PK0736600,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,46,4550480315331,Food Storage Bag-With Slider M16 PCS. For Fridge- Bag: Polyethylene Slider: Polypropylene 冷藏保鮮夾鏈袋【220×180mm】,3923.21.00.00-3,IFB13PK0736702,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AW/13/441/G1724,47,4550480315355,Food Storage Bag-With Slider L 12 PCS. For Fridge- Bag: Polyethylene Slider: Polypropylene 冷藏保鮮夾鏈袋【270×280mm】,3923.21.00.00-3,IFB13PK0736801,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
