報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AA/13/441/G2535,1,4549131214048,MINI GUITAR body-HIPS.string-Nylon 樂器玩具,9503.00.71.00-8,20203272680006,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,2,4549131261912,Wooden Planter Ivy wood polyester polyethylene Formed EVA 裝飾綠植,6702.90.00.00-0,,
AA/13/441/G2535,3,4549131618792,Unglazed Flowerpot 11.3x9.0cm laterite 陶花盆,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2535,4,4549131668483,Wire Basket -37cm x 26cm x 18cm Black- steel 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,5,4549131669497,Unglazed Flowerpot 2 pcs. Laterite 陶盆栽,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2535,6,4549131679212,Goldfish Scooping set Polyethylene Polypropylene Polyester 撈金魚玩具,9503.00.91.90-5,20203272680006,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,7,4549131683790,Green Ring polysyrene 仿真裝飾花圈,6702.90.00.00-0,,
AA/13/441/G2535,8,4549131705003,Floating Animal Polyvinyl chloride 泡澡玩具,9503.00.69.00-2,20203272681009,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,9,4549131707717,LACEBORI TAYO BOWL porcelain 瓷土碗【420ml】,6911.10.00.00-4,IFB13PK0785002,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2535,10,4549131749472,Lithium Button Battery CR2016 3 pcs.- 鋰鈕扣電池CR2016,8506.50.00.00-2,,
AA/13/441/G2535,11,4549131858143,Wire Basket Black 26cm x 17cm x 11cm Steel 100%、收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,12,4549131858167,Wire Basket Black 34cm x 25cm x 14cm Steel 100%、收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,13,4549131858174,Wire Basket Black 34cm x 25cm x 24cm Steel 100%、收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,14,4549131873917,Dolly Battle Polypropylene 100%、掌上玩具,9503.00.91.90-5,20203272680006,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,15,4549131874792,Colorful Ball-10pcs. -6cm-2.4in- Polyethylene 100%、玩具球,9506.69.90.00-0,20203272681009,
AA/13/441/G2535,16,4549131881318,Construction Truck Mini Body ABS resin 100%、Cover: Zinc alloy 100%、玩具車,9503.00.41.00-5,20203272682002,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,17,4549131881349,Off Road Car Mini- Body ABS resin 100%、Cover: Zinc alloy 100%、玩具車,9503.00.41.00-5,20203272682002,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,18,4549131954272,Planter Sand Container Cement Contents Polyethylene 裝飾植栽,6702.90.00.00-0,,
AA/13/441/G2535,19,4549892004193,Cream Container -6 pcs. - 5g -0.2oz Polypropylene 分裝容器,3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,20,4549892092572,Makeup Sponge Value Pack House Shape 14 pcs. Polyurethane 化妝海綿,9616.20.00.00-4,,
AA/13/441/G2535,21,4549892252563,Film Sticky Note Pop-up Type Brown 160 Notes- Polyethylene terephthalate 標籤貼,3919.90.90.00-6,,
AA/13/441/G2535,22,4549892252570,Film Sticky Note Pop-up Type Blue 160 Notes- Polyethylene terephthalate 標籤貼,3919.90.90.00-6,,
AA/13/441/G2535,23,4549892252587,Film Sticky Note Pop-up Type Purple 160 Notes- Polyethylene terephthalate 標籤貼,3919.90.90.00-6,,
AA/13/441/G2535,24,4550480022390,Clothespin Hanger For Low Laundry Pole 42 pcs.- Polypropylene 晾衣夾,3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,25,4550480067650,MULTISTORY PARKING AREA Polypropylene、ABS resin 立體停車場玩具,9503.00.91.90-5,20203272680006,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,26,4550480124933,Aluminum Twisted S Hook 2pcs. Aluminum S型掛鉤,7616.99.90.00-5,,
AA/13/441/G2535,27,4550480182193,Pullback Car -Military- 玩具車,9503.00.41.00-5,20203272682002,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,28,4550480194127,Wire Basket Black 37cmx26cmx24cm- Steel 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,29,4550480194134,Wire Basket Black 37cmx26cmx12cm- Steel 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,30,4550480194141,Wire Basket Black- 26.5cmx36cmx12cm-Steel收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,31,4550480194158,Wire Basket Black- 26.5cmx36cmx24cm-Steel收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,32,4550480194165,Wire Basket White - 37cmx26cmx24cm- Steel 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,33,4550480194172,Wire Basket White - 37cmx26cmx12cm- Steel 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,34,4550480194189,Wire Basket White - 26.5cmx36cmx12cm-Steel收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,35,4550480202938,Coffee Drip Pot 350mL - 手沖咖啡壺【350ml】,7323.93.00.00-4,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,36,4550480219165,"PVC trouser hanger 2P Steel, Polyvinyl chloride 褲架",7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,37,4550480223148,Japanese Mug -7.43fl oz - 220mL PK- Porcelain 瓷土馬克杯 【220ml】蔦,6911.10.00.00-4,IFB13PK0785104,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2535,38,4550480223148,Japanese Mug -7.43fl oz- 220mL 1-3 Assorted Styles- Porcelain 瓷土馬克杯 【220ml】花樣,6911.10.00.00-4,IFB13PK0785206,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2535,39,4550480223148,Japanese Mug 7.43fl oz 220mL 1-3 Assorted Styles- Porcelain 瓷土馬克杯 【220ml】三色線,6911.10.00.00-4,IFB13PK0785308,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2535,40,4550480234748,"Badminton Set Body: Polystyrene, Polypropylene, Polyester, EVA resin 羽毛球玩具",9506.91.00.00-1,20203272681009,
AA/13/441/G2535,41,4550480239811,Makeup Spray -Diffusion Nozzle 50mL 噴霧瓶【50ml】,8424.89.90.00-7,,
AA/13/441/G2535,42,4550480239835,Makeup Spray -Diffusion Nozzle 100mL 噴霧瓶【100ml】,8424.89.90.00-7,,
AA/13/441/G2535,43,4550480243344,Clothespin Hanger -Polycarbonate Hook 32 Clothespins - 晾衣夾,3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,44,4550480253534,Double Guard Cover Clear For Smartphone 14 - iPhone14 手機殼,3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,45,4550480268941,Colorful Ball With Star - 12 pcs. Polyethylene 玩具球,9506.69.90.00-0,20203272681009,
AA/13/441/G2535,46,4550480268958,Colorful Ball With Heart - 12 pcs. Polyethylene 玩具球,9506.69.90.00-0,20203272681009,
AA/13/441/G2535,47,4550480355955,"Instant adhesive stick (for detail work, 2 pcs, 3 trays) Polyethylene瞬間膠專用黏著棒",3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,48,4550480378091,Truck With Ladder Work Vehicle Series ABS resin 工作車玩具,9503.00.41.00-5,20203272682002,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,49,4550480378107,Flatbed Truck Work Vehicle Series ABS resin 工作車玩具,9503.00.41.00-5,20203272682002,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,50,4550480382005,Shopping Bag -Pink- Body Polypropylene Coating: OPP 購物袋,4202.92.90.91-8,,
AA/13/441/G2535,51,4550480382012,Shopping Bag -Gray- Body Polypropylene Coating: OPP 購物袋,4202.92.90.91-8,,
AA/13/441/G2535,52,4550480394282,Clothes Brush With Shoehorn Body Polystyrene Brush: Polyester 衣服刷附鞋拔,9603.90.90.00-5,,刷具 - 注意動物毛/植物毛
AA/13/441/G2535,53,4550480405612,Binoculars -Folding Color B ABS resin 折疊式望遠鏡,9005.10.00.90-6,,
AA/13/441/G2535,54,4550480405629,Binoculars -Folding - Color A ABS resin 折疊式望遠鏡,9005.10.00.90-6,,
AA/13/441/G2535,55,4550480416687,Silicone Tongs With Stand 22.5cm- 料理夾【22.5x4.5x3.2CM】,3924.10.00.90-6,IFB13PK0785400,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,56,4550480416717,Silicone Tongs With Stand 30cm- 料理夾【30×4.5×3.5CM】,3924.10.00.90-6,IFB13PK0785502,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,57,4550480427355,Sandbox Work Vehicle Polypropylene 堆沙玩具車,9503.00.41.00-5,20203272682002,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,58,4550480438399,Closet Storage Case 33.7cm x 40.5cm x 12.5cm- Polypropylene 衣櫃用收納盒,3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,59,4550480452128,Clear Hard Case For Smartphone 15Pro - Polycarbonate 手機殼 【iPhone15 Pro】,3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,60,4550480452135,Clear Hard Case For Smartphone 15-Polycarbonate 手機殼【iPhone15】,3924.90.00.90-9,CI999999999999,一般查驗 (General Inspection); 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,61,4550480454290,Point Marker Sticky Notes 12 Types x 20 pcs.- PET 便條紙,4823.90.00.31-1,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,62,4550480454962,Lunch Picks Mickey and Minnie - 10 pcs- 便當裝飾叉【1.5×5CM】,3924.10.00.90-6,IFB13PK0785601,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,63,4550480458878,Silicone Pot Mat Set of 2 Silicone rubber 鍋墊【15.3×5cm】,3924.10.00.90-6,DH999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 可能為免驗或核備代碼
AA/13/441/G2535,64,4550480458892,Retro Silicone Pot Mat Silicone rubber 鍋墊【16×2cm】,3924.10.00.90-6,DH999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 可能為免驗或核備代碼
AA/13/441/G2535,65,4550480458908,Leather Pattern Silicone Pot Mat Silicone rubber 鍋墊【15.5×2cm】,3924.10.00.90-6,DH999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 可能為免驗或核備代碼
AA/13/441/G2535,66,4550480476773,Silicone Spatula with Tip That Does Not Touch 抹刀【25×1.5×5.3CM】,3924.10.00.90-6,IFB13PK0785703,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,67,4550480476780,Silicone Brush with Tip That Does Not Touch 料理刷【21.8×1.5×3.9CM】,3924.10.00.90-6,IFB13PK0785805,食品容器 (Food Contact) - 需檢驗; 塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2535,68,4550480478081,Rocket Body: Polyvinyl chloride Polypropylene Polyethylene EVA resin ABS resin 飛天火箭玩具,9503.00.91.90-5,20203272680006,玩具 (Toys) - 需 BSMI 檢驗
AA/13/441/G2535,69,4550480534732,Wire Stackable Basket-BK- 29cmx16.5cmx13cm- Coating Powder coating Body: Steel 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,70,4550480534749,Wire Basket-BK- 28cmx21.5cmx11cm- Coating Powder coating Body: Steel 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,71,4550480545530,Two-toned clear umbrella -Gray- 長傘【60CM】,6601.99.00.00-3,,
AA/13/441/G2535,72,4550480545547,Two-toned clear umbrella -Black- 長傘【60CM】,6601.99.00.00-3,,
AA/13/441/G2535,73,4550480551593,Berry Vine Body: Polystyrene Polyester Polyethylene Steel 仿真裝飾植物,6702.90.00.00-0,,
AA/13/441/G2535,74,4550480551647,Fake Moss Sheet Nylon 裝飾用草皮,5705.00.40.00-0,,
AA/13/441/G2535,75,4550480551661,Green Garland Ivy- Polyester、Polyethylene 仿真裝飾花圈,6702.90.00.00-0,,
AA/13/441/G2535,76,4550480551678,Green Leaf Vine Polyethylene、Steel 仿真裝飾植物,6702.90.00.00-0,,
AA/13/441/G2535,77,4550480551685,Pothos Vine Polyester Polyethylene Steel 仿真裝飾植物,6702.90.00.00-0,,
AA/13/441/G2535,78,4550480551692,Ivy Vine Polyester Polyethylene Steel 仿真裝飾植物,6702.90.00.00-0,,
AA/13/441/G2535,79,4550480551722,Fake Moss Sheet Square Nylon 裝飾用草皮,5705.00.40.00-0,,
AA/13/441/G2535,80,4550480573908,Wire Stackable Basket-26cmx19cmx13cm- Body: Steel Coating: Nickel plated 收納籃,7323.99.00.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2535,81,8692952095214,WHISKY GLASS 405 ml Body Soda-lime glass 威士忌品酒杯【405ml】,7013.37.00.00-8,,
AA/13/441/G2535,82,8692952187872,WINE TUMBLER 475ml Body: Soda-lime glass 紅酒杯【475ml】,7013.37.00.00-8,,
AA/13/441/G2535,83,8692952193675,PITCHER 700 ml Body Soda-lime glass 玻璃瓶【700ml】,7010.90.00.20-1,,
AA/13/441/G2246,1,4549131345445,WOODEN PRODUCTS Paulownia Polystyrene 收納木盒(已上漆),4421.99.00.90-6,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,2,4549131362381,CLIP BOARD Paper Steel Polypropylene 板夾【A4】,8305.90.90.00-8,FT999999999991,
AA/13/441/G2246,3,4549131489200,MAT Outer material- Polypropylene 100pct. 地墊【44×75cm】,5705.00.40.00-0,,
AA/13/441/G2246,4,4549131489217,MAT Outer material- Polypropylene 100pct. 地墊【40×60cm】,5705.00.40.00-0,,
AA/13/441/G2246,5,4549131586732,WOODEN DISPLAY RACK frame: Poplar Polyester 布製收納盒,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,6,4549131780574,WOODEN TRAY Laminated Veneer Lumber Lacquer coating 木製托盤,4419.90.00.90-9,DH999999999999,可能為免驗或核備代碼
AA/13/441/G2246,7,4549131863154,"APRON 64% Polyester, 24% Cotton, 10% Rayon, 2% Nylon 圍裙",6210.50.00.00-3,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,8,4549131923865,WOODEN PRODUCTS Paulownia Magnet Cork Polystyrene 木製收納盒【A4】(已上漆),4421.99.00.90-6,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,9,4549131930917,WOODEN PRODUCTS Material: Iron Paulownia Polystyrene 收納盒(已上漆),4421.99.00.90-6,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,10,4549131981377,MICROFIBER HAIR TURBAN Polyester 85%、Nylon 15% 洗臉化妝髮帶【8×17cm】,6217.90.90.00-9,,
AA/13/441/G2246,11,4549131982466,GLASS JAR Body Glass Lid Bamboo Packing: Silicone rubber 玻璃保存罐【400ml】,7010.90.00.20-1,,
AA/13/441/G2246,12,4549131985245,GLASS ORNAMENT Glass 玻璃收納盒,7013.99.90.00-4,,
AA/13/441/G2246,13,4550480008530,GLASS ORNAMENT Glass 玻璃花瓶,7013.99.40.00-5,,
AA/13/441/G2246,14,4550480062693,RAIN PONCHO Body: Polyethylene Button: Polypropylene 雨披,3926.20.00.90-2,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,15,4550480062754,RAIN COAT Body: Polyethylene Button Polypropylene 雨衣,3926.20.00.90-2,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,16,4550480066035,WOODEN MAT Body: Paulownia 木架板(已上漆),4421.99.00.90-6,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2246,17,4550480142821,GLASSWARE Main unit Heat-resistant glass Dripper: Stainless steel 咖啡濾壺【500ml】,7013.42.00.00-1,,
AA/13/441/G2246,18,4550480174488,MICROFIBER HAIR TURBAN 洗臉化妝髮帶【8×17cm】,6217.90.90.00-9,,
AA/13/441/G2246,19,4550480223339,PORCELAIN Porcelain 瓷土深盤【18.5cm】,6911.10.00.00-4,IFB13262152202,食品容器 (Food Contact) - 需檢驗; 陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2246,20,4550480223414,GLASSES Soda-lime glass 甜點杯【130ml】,7013.37.00.00-8,FT999999999991,
AA/13/441/G2246,21,4550480223438,GLASSES Body Soda-lime glass Lid: Tin Seal: Polyethylene 玻璃保存罐【400ml】,7010.90.00.20-1,,
AA/13/441/G2246,22,4550480223513,GLASSES Body Soda-lime glass Cap: ABS resin Seal: TPE 玻璃油瓶【280ml】,7013.49.00.00-4,,
AA/13/441/G2246,23,4550480223544,GLASSES Body: Soda-lime glass Lid: Soda-lime glass Seal: Silicone rubber Lever: Steel 附蓋玻璃罐【3L】,7010.90.00.10-3,,
AA/13/441/G2246,24,4550480229058,GLASS TEAPOT Heat-resistant glass 玻璃茶壺【9.5 x 9.5x11cm】,7013.42.00.00-1,,
AA/13/441/G2246,25,4550480230801,GLASSES Body Soda-lime glass Lid: Polypropylene 玻璃保存罐【1.8L】,7010.90.00.10-3,,
AA/13/441/G2246,26,4550480289427,PE PLASTIC BAG Polyethylene 加厚夾鏈袋【A4】(非食品用),3923.29.90.90-7,,
AA/13/441/G2246,27,4550480289441,PE PLASTIC BAG Polyethylene 加厚夾鏈袋【A5】(非食品用),3923.29.90.90-7,,
AA/13/441/G2246,28,4550480289472,PE PLASTIC BAG Polyethylene 加厚夾鏈袋【B4】(非食品用),3923.29.90.90-7,,
AA/13/441/G2246,29,4550480289496,PE PLASTIC BAG Polyethylene 加厚夾鏈袋【A6】(非食品用),3923.29.90.90-7,,
AA/13/441/G2246,30,4550480289519,PE PLASTIC BAG Polyethylene 加厚夾鏈袋【A7】(非食品用),3923.29.90.90-7,,
