報單號碼,項次,貨號/條碼,貨物名稱,稅則號列,許可證號碼,申報注意事項
AA/13/441/G2710,1,4549131160659,CERAMIC DECORATIVE ITEMS dolomite 附底盤花盆,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,2,4549131262841,PENCIL SHARPENER plastic 削鉛筆機,8472.90.30.00-8,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2710,3,4549131295542,PLASTIC BASKET Polypropylene 收納籃,3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection)
AA/13/441/G2710,4,4549131355093,CERAMIC WARE stoneware 花瓶,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,5,4549131499643,SHOES RACK polypropylene 置鞋架,3924.90.00.90-9,CI999999999999,塑膠/美耐皿檢驗 (Plastic/Melamine); 一般查驗 (General Inspection)
AA/13/441/G2710,6,4549131693584,MESH PENCIL CASE polyester 筆袋,4202.32.00.20-6,,
AA/13/441/G2710,7,4549131910247,PLASTIC HANGER Polypropylene 衣架,3924.90.00.10-6,,塑膠/美耐皿檢驗 (Plastic/Melamine)
AA/13/441/G2710,8,4549131932102,CERAMIC WARE Stoneware 花瓶,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,9,4549131957068,DIGITAL CLOCK ABS resin 溫濕度計不含電池,9106.10.00.00-3,,鐘錶/計時器 - 注意電池規定
AA/13/441/G2710,10,4549131973280,SUPPORTER PELVIC Body 100% Polyester Synthetic rubber 骨盆帶,6307.90.90.90-1,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2710,11,4549131983661,DIGITAL CLOCK ABS resin 時鐘【白】不含電池,9105.11.00.00-3,,鐘錶/計時器 - 注意電池規定
AA/13/441/G2710,12,4550480010052,COMPUTER CASE Polyester 筆電包,4202.92.90.92-7,CI999999999999,一般查驗 (General Inspection)
AA/13/441/G2710,13,4550480019697,DIGITAL CLOCK ABS resin 時鐘不含電池,9105.21.00.00-1,,鐘錶/計時器 - 注意電池規定
AA/13/441/G2710,14,4550480052823,CERAMIC DECORATIVE ITEMS Dolomite 花盆,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,15,4550480052830,CERAMIC DECORATIVE ITEMS Dolomite 花盆,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,16,4550480065403,LEISURE CHAIR Structural member Metal (Steel) 折疊椅,9401.79.00.00-3,CI999999999999,燈具/家具 - 注意檢驗; 一般查驗 (General Inspection)
AA/13/441/G2710,17,4550480065427,LEISURE CHAIR Structural member Metal (Steel) 折疊椅,9401.79.00.00-3,CI999999999999,燈具/家具 - 注意檢驗; 一般查驗 (General Inspection)
AA/13/441/G2710,18,4550480066455,CERAMIC DECORATIVE ITEMS Dolomite 花盆,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,19,4550480066462,CERAMIC DECORATIVE ITEMS Dolomite 花盆,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,20,4550480066479,CERAMIC DECORATIVE ITEMS Dolomite 花盆,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,21,4550480071220,DIGITAL CLOCK ABS resin 溫濕度計時鐘【白】(不含電池),9106.10.00.00-3,,鐘錶/計時器 - 注意電池規定
AA/13/441/G2710,22,4550480151953,AIRLESS EMULSION BOTTLE Main unit AS resin 乳液分裝瓶,3923.30.00.00-2,,
AA/13/441/G2710,23,4550480167350,CERAMIC WARE Stoneware 花瓶,6914.90.90.90-6,,陶瓷檢驗 (Ceramic Inspection)
AA/13/441/G2710,24,4550480205076,REFILL CONTAINER Body: Polyethylene Lid: Polypropylene 分裝瓶【80ml】,3923.30.00.00-2,,
AA/13/441/G2710,25,4550480205083,BOTTLE Body: Polyethylene Lid: Polypropylene 分裝瓶,3923.30.00.00-2,,
